layer,feature,label,f1_score,accuracy,precision,recall,main_theme,sub_theme
22,121,Transitions and actions in financial or business contexts,0.688,0.538,0.717,0.66,And & Contexts,And Contexts
28,199,"Financial and market-related terms, focusing on economic indicators and events.",0.755,0.631,0.787,0.725,And & Economic,And Stock
10,84,"Financial terms, company names, and stock performance indicators",0.836,0.723,0.767,0.92,And & Names,And Names
10,342,Financial metrics and market dynamics in business contexts,0.901,0.82,1.0,0.82,And & Metrics,And Metrics
10,53,"Financial events, actions, or conditions",0.832,0.738,0.824,0.84,And & Contexts,And Contexts
16,54,Financial and business terms from news and analyst reports,0.822,0.708,0.786,0.863,And & Contexts,And Performance
28,395,"Financial actions, metrics, and entities in stock market context",0.781,0.646,0.745,0.82,And & Contexts,And Contexts
16,95,Specific years in financial and market contexts,0.529,0.508,1.0,0.36,And & Economic,And Contexts
22,84,"Numerical values in financial contexts, often single or double digits.",0.623,0.554,0.889,0.48,And & Contexts,And Values
4,239,"Separates items in lists or clauses, often in financial contexts",0.29,0.323,0.75,0.18,And & Contexts,Contexts And
10,141,"Significant financial metrics, competitive advantages, and market dynamics",0.703,0.585,0.8,0.627,And & Metrics,And Metrics
10,139,"Sentence boundary marker, specifically end of sentence",0.625,0.76,0.833,0.5,Sentence & Marker,Sentence Boundary
22,221,"Company names and financial terms, especially energy and business operations.",0.777,0.646,0.755,0.8,And & Names,And Names
4,208,Continuation and persistence in financial or business processes,0.545,0.462,0.808,0.412,And & Contexts,And Contexts
10,350,Financial actions and metrics in business contexts,0.755,0.631,0.771,0.74,And & Contexts,And Contexts
16,58,Denotes membership or inclusion in a specific set or group,0.286,0.308,0.75,0.176,And & Contexts,And Tech
28,149,Specific parts of words significant in financial and business contexts.,0.844,0.738,0.78,0.92,And & Contexts,And Words
4,66,"Financial and technology company names, stock indices, and metrics",0.784,0.677,0.826,0.745,And & Names,And Names
10,47,"Financial and economic indicators, market performance, and company-specific events.",0.785,0.646,0.737,0.84,And & Economic,And Economic
16,119,Years and financial figures with zeros and twos,0.441,0.415,0.833,0.3,And & Contexts,And Values
22,317,End of sentence or significant clause in financial contexts,0.571,0.64,0.545,0.6,Sentence & Marker,Sentence End
28,46,"Words indicating reported or expected actions, states, or conditions.",0.423,0.369,0.714,0.3,And & Contexts,And States
22,311,"Financial and analytical context markers, including punctuation and specific terms.",0.833,0.723,0.776,0.9,And & Contexts,And Tech
28,290,Financial metrics and market-related terms in business contexts,0.8,0.677,0.778,0.824,And & Metrics,And Metrics
22,272,Specific articles or titles in financial/news contexts,0.641,0.569,0.893,0.5,And & Contexts,And News
