layer,feature,label,f1_score,accuracy,precision,recall
10,47,"Historical and technical terms, locations, and specific events",0.667,0.538,0.75,0.6
28,46,"Actions, processes, or transitions in context",0.585,0.477,0.75,0.48
4,0,"Parts or elements of a larger historical, cultural, or organizational context",0.729,0.6,0.778,0.686
22,18,Sensitivity to word endings and punctuation,0.776,0.662,0.792,0.76
28,15,"Sentence-ending punctuation marks (periods, double angle brackets)",0.556,0.467,0.652,0.484
22,36,"Fragments of titles, dates, and locations in cultural and musical contexts",0.747,0.646,0.829,0.68
4,22,"Definite article \""the\"" in specific, contextually significant phrases",0.711,0.6,0.8,0.64
10,41,End-of-sentence punctuation marker,0.588,0.6,0.714,0.5
16,41,"Sentence-ending punctuation marks (periods, new lines)",0.452,0.514,0.7,0.333
16,4,"Specific numbers, proper nouns, and technical terms in historical or technical contexts",0.722,0.585,0.745,0.7
10,45,"Positive reception, critical acclaim, and public recognition",0.214,0.323,1.0,0.12
28,5,Pronouns and auxiliary verbs indicating relationships and actions,0.295,0.338,0.9,0.176
4,41,Sentence delimiters and punctuation marks,0.471,0.486,0.615,0.381
16,36,"Specific directions, positions, or cardinal points",0.237,0.308,0.778,0.14
10,0,"Denotes possession, origin, or association",0.619,0.508,0.765,0.52
22,48,"Sentence-ending punctuation marks (periods, new lines)",0.452,0.514,0.636,0.35
28,43,"Military and naval operations, equipment, and historical contexts",0.328,0.369,1.0,0.196
4,44,Initial segments of proper names and places,0.713,0.615,0.838,0.62
10,23,"Loss, damage, or death in historical contexts",0.355,0.385,1.0,0.216
16,24,"Critical or distinctive aspects of a topic, often in reviews or descriptions.",0.276,0.354,1.0,0.16
22,49,Actions and events in historical and narrative contexts,0.688,0.554,0.744,0.64
10,19,"Connects clauses and phrases, structuring sentence flow and relationships.",0.169,0.246,0.625,0.098
10,8,"Geographical and environmental terms, often related to water and land features.",0.305,0.369,1.0,0.18
16,7,"Represents parts of words, suffixes, prefixes, and punctuation.",0.727,0.571,0.588,0.952
16,3,Specific attributes or conditions that emphasize significant qualities or distinctions.,0.145,0.277,0.8,0.08
10,43,"Numerical and punctuation patterns, including dates, measurements, and ordinal numbers.",0.632,0.569,0.923,0.48
10,4,"Album titles, song names, and production details in music contexts.",0.333,0.385,1.0,0.2
10,20,Directional and positional descriptors in technical or geographic contexts,0.375,0.385,0.857,0.24
4,3,"Dates, numbers, and specific events or details",0.611,0.44,1.0,0.44
10,24,Actions or relationships indicated by prepositions and articles,0.717,0.6,0.786,0.66
28,34,"Common function words and punctuation, indicating structural roles in sentences.",0.369,0.369,0.857,0.235
10,26,Technical or specialized terms in specific contexts,0.514,0.477,0.9,0.36
22,20,"Geographic locations and specific areas, often regions or landmarks",0.553,0.477,0.808,0.42
22,27,"Specific years, dates, and locations in media and events",0.493,0.431,0.818,0.353
16,10,Development of narrative elements and character relationships in creative works.,0.4,0.4,0.929,0.255
10,28,Actions or significant events in text,0.635,0.523,0.794,0.529
16,44,Partial names and initials activation,0.613,0.554,0.958,0.451
10,38,Actions or movements with directional or relational aspects,0.175,0.277,0.714,0.1
16,16,"Proper nouns and specific entities, often related to organizations, media, and institutions.",0.713,0.615,0.838,0.62
22,47,"Common articles, prepositions, and numbers in historical or specific contexts",0.72,0.569,0.72,0.72
16,20,Historical and institutional establishment and development contexts,0.568,0.508,0.913,0.412
16,49,Claims or assertions about actions or states,0.582,0.492,0.793,0.46
