feature_id,activation_score,interpretability_score,financial_relevance,top_activations
105,0.92,0.89,0.91,"portfolio,diversification,asset allocation"
133,0.94,0.87,0.93,"trading,execution,order flow"
162,0.88,0.85,0.86,"compliance,regulation,governance"
181,0.91,0.88,0.90,"derivatives,options,futures"
203,0.89,0.86,0.87,"currency,forex,exchange rate"
214,0.93,0.90,0.92,"bond,yield,interest rate"
267,0.87,0.84,0.85,"commodity,raw material,price"
332,0.90,0.87,0.89,"merger,acquisition,deal"
340,0.88,0.85,0.86,"IPO,public offering,listing"
66,0.86,0.83,0.84,"analyst,research,recommendation"
