date,ticker,news,close_price
2010-06-29,TSLA,"With I.P.O., Tesla Bets on Electric Car’s Future",1.5926669836044312
2010-06-30,TSLA,Tesla Leaves I.P.O. Price in the Dust,1.5886670351028442
2010-07-21,TSLA,"Tesla Electric Cars: Revved Up, but Far to Go",1.3480000495910645
2010-07-26,TSLA,"Tesla Electric Cars: Revved Up, but Far to Go",1.3966670036315918
2010-07-30,TSLA,Musk’s Secret Identity Is Revealed,1.329332947731018
2010-08-05,TSLA,Tesla Reports Higher Losses in 2nd Quarter,1.363332986831665
2010-08-05,TSLA,Tesla Reports Higher Losses in 2nd Quarter,1.363332986831665
2010-11-04,TSLA,Panasonic Invests $30 Million in Tesla,1.659999966621399
2010-11-16,TSLA,Unlikely Alliance Results in an All-Electric RAV4,1.9780000448226929
2011-03-31,TSLA,Tesla Sues ‘Top Gear’ Over Show About the Roadster,1.850000023841858
2011-04-25,TSLA,Chris Paine Stages a Discussion of the Electric Car’s Future at the Tribeca Film Festival,1.7593330144882202
2011-05-06,TSLA,Tesla Prepares for a Gap as Roadster Winds Down,1.8079999685287476
2011-10-20,TSLA,Anticipating Big Growth at Tesla,1.8226670026779175
2011-10-21,TSLA,"As Documentary Rolls Out, Elon Musk Considers His ‘Revenge’",1.8686670064926147
2011-10-26,TSLA,"Bucking Trends, Tesla Goes It Alone on Plug Design",1.8653329610824585
2012-01-17,TSLA,Wheelies: The Damage Control Edition,1.773332953453064
2012-02-10,TSLA,Tesla Unveils Model X at Its Southern California Design Studios,2.0733330249786377
2012-06-20,TSLA,"Leaving Baggage On the Dock, a Flagship Departs From California",2.252000093460083
2012-08-31,TSLA,"With a Jolt From Tesla, a More Electrifying Utility",1.901332974433899
2012-09-25,TSLA,"For Tesla Motors, One Supercharger to Bind Them",1.843999981880188
2012-09-26,TSLA,Libor’s New Masters,1.8359999656677246
2012-09-28,TSLA,Charging Ahead on an Electric Highway,1.9520000219345093
2012-09-28,TSLA,"One Big Step for Tesla, One Giant Leap for E.V.’s",1.9520000219345093
2012-10-05,TSLA,Cash Flows Are Critical for Tesla,1.9259999990463257
2012-10-23,TSLA,Wheelies: The Charged Argument Edition,1.8926670551300049
2012-11-13,TSLA,"At Tesla’s Party, Superchargers and Delivery Dates",2.107332944869995
2012-11-14,TSLA,Unprepared for a Disaster,2.0920000076293945
2012-11-14,TSLA,Elon Musk on a Solid Year for Tesla,2.0920000076293945
2013-01-15,TSLA,A Holding Pattern at Tesla,2.259999990463257
2013-02-08,TSLA,Stalled Out on Tesla’s Electric Highway,2.615999937057495
2013-02-12,TSLA,The Charges Are Flying Over a Test of Tesla’s Charging Network,2.5260000228881836
2013-02-14,TSLA,Conflicting Assertions Over an Electric Car Test Drive,2.551332950592041
2013-02-14,TSLA,That Tesla Data: What It Says and What It Doesn’t,2.551332950592041
2013-02-15,TSLA,"Problems With Precision and Judgment, but Not Integrity, in Tesla Test",2.4693329334259033
2013-02-21,TSLA,Tesla’s Earnings Indicate Some Customer Cancellations,2.3440001010894775
2013-02-22,TSLA,"After a Charging System Test, a Debate Erupts Online",2.4073328971862793
2013-03-12,TSLA,Tesla Model X Production Won’t Start Until Late 2014,2.6080000400543213
2013-04-01,TSLA,The Timing of Tesla C.E.O.’s Tweets,2.9286670684814453
2013-04-03,TSLA,"Gentlemen, Start Your Calculators: Checking the Math of Tesla’s Lend-Lease Program",2.740000009536743
2013-04-12,TSLA,Wheelies: The Fantasy Electric Truck Edition,2.9166669845581055
2013-05-08,TSLA,Technology Industry Lobbying Group Loses Supporters,3.7193329334259033
2013-05-08,TSLA,Tesla’s Disappearing Data,3.7193329334259033
2013-05-14,TSLA,Tesla’s Stock Is Trading at Rich Multiples,5.549333095550537
2013-05-15,TSLA,Wheelies: The Change the Batteries Edition,5.656000137329102
2013-05-16,TSLA,Bid for Cash by Tesla Motors Is Likely to Energize Company and Critics Alike,6.150000095367432
2013-05-23,TSLA,"In a Plus for Electrics, Tesla Repays a Big Federal Loan Early",6.182000160217285
2013-05-24,TSLA,Tesla vs. Chrysler: Who’s on First?,6.4720001220703125
2013-06-03,TSLA,The Long Road Ahead for Tesla,6.172667026519775
2013-06-21,TSLA,Tesla Fast-Tracks Battery Swapping While Fighting a Legislative Attack,6.636666774749756
2013-06-25,TSLA,Wheelies: The Let’s Sit Down and Talk Edition,6.826666831970215
2013-07-09,TSLA,Wheelies: The Connecticut Coverage Edition,8.229999542236328
2013-07-15,TSLA,Musk to Unveil Designs for ‘Hyperloop’ High-Speed Train,8.484000205993652
2013-08-08,TSLA,Echoes of Steve Jobs in Elon Musk,10.232000350952148
2013-08-12,TSLA,Elon Musk Unveils Plans for Hyperloop High-Speed Train,9.825332641601562
2013-08-13,TSLA,Elon Musk’s ‘Hyperloop’ Dream,9.695332527160645
2013-08-23,TSLA,Getting Tesla From Here to There,10.78933334350586
2013-09-06,TSLA,"As It Increases Production, Tesla Worries About Battery Supply",11.131333351135254
2013-09-19,TSLA,General Motors Looks to Cut Battery Prices and Increase E.V. Range,11.861332893371582
2013-10-04,TSLA,Car Fire a Test for High-Flying Tesla,12.065333366394043
2013-11-06,TSLA,"Tesla Posts Smaller Loss, but Shares Start to Temper",10.077333450317383
2013-11-08,TSLA,Another Fire Raises Questions for Tesla,9.196666717529297
2013-11-12,TSLA,Elon Musk’s Next Blue-Sky Idea,9.186667442321777
2013-11-19,TSLA,"After 3 Fires, Safety Agency Opens Inquiry Into Tesla Model S ",8.406000137329102
2013-12-05,TSLA,SolarCity to Use Batteries From Tesla for Energy Storage,9.36533260345459
2013-12-27,TSLA,"In 2013: Rebounds, Traders and Rights",10.074666976928711
2014-01-10,TSLA,Wheelies: The Ford Is Watching Edition,9.714667320251465
2014-01-14,TSLA,"At Auto Show, Tesla Defends Safety Record ",10.751333236694336
2014-01-14,TSLA,Elon Musk of Tesla on Recall,10.751333236694336
2014-02-20,TSLA,Loss Tapers at Tesla as Its Sales Still Climb,13.998000144958496
2014-02-27,TSLA,Tesla Plans $5 Billion Battery Factory for Mass-Market Electric Car,16.836000442504883
2014-03-18,TSLA,Tesla Fights for a Place to Park,16.002666473388672
2014-03-28,TSLA,Federal Safety Agency Ends Its Investigation of Tesla Fires,14.157999992370605
2014-04-10,TSLA,Tesla’s Lightweight Solution to Preventing Model S Fires,13.612667083740234
2014-04-11,TSLA,Key to Tougher Teslas: Titanium,13.585332870483398
2014-04-25,TSLA,Wheelies: The Mazda’s Money Edition,13.323332786560059
2014-05-08,TSLA,Tesla stock falls despite earnings beat,11.906000137329102
2014-06-18,TSLA,Elon Musk’s Halo Effect,15.141332626342773
2014-07-17,TSLA,Wheelies: The Mustang Numbers Edition,14.359999656677246
2014-09-04,TSLA,Nevada and Tesla Hint at Site of Factory,19.069332122802734
2014-09-05,TSLA,Alibaba set for historic IPO; Stocks shake jobs worry,18.492666244506836
2014-09-05,TSLA,Elon Musk on Tesla Factory Decision,18.492666244506836
2014-09-05,TSLA,Nevada a Winner in Tesla’s Battery Contest,18.492666244506836
2014-09-12,TSLA,"Nevada Woos Tesla Plant in Tax Deal, but Economic Benefits Prompt Debate",18.613332748413086
2014-10-08,TSLA,Tesla Announces a Quicker Dual-Motor Model With All-Wheel Drive,17.28533363342285
2014-10-10,TSLA,"Tesla's Musk intros Model S ""autopilot"" features",15.793999671936035
2014-10-22,TSLA,Daimler Expects $780 Million Gain on Sale of Tesla Motors Stake,15.40666675567627
2014-10-27,TSLA,Tesla Announces a New Leasing Package for Its Electric Cars,14.777999877929688
2014-11-06,TSLA,"Tesla Reports Loss, but Beats Wall Street Expectations",16.08133316040039
2015-01-14,TSLA,Tesla Chief Asks Makers to Support Electric Cars,12.845999717712402
2015-02-10,TSLA,Lurching Start for Tesla in China,14.419333457946777
2015-02-12,TSLA,"Tesla Motors Met Its Output Goal, but Showed a 4th-Quarter Loss",13.525333404541016
2015-03-19,TSLA,Elon Musk Says Self-Driving Tesla Cars Will Be in the U.S. by Summer,13.043333053588867
