statement,label
531 + 910 = 1441,1
465 + 904 = 1363,0
487 + 635 = 1122,1
114 + 157 = 263,0
750 + 261 = 1011,1
430 + 634 = 1070,0
692 + 229 = 921,1
163 + 291 = 451,0
696 + 287 = 983,1
437 + 133 = 566,0
566 + 630 = 1196,1
305 + 702 = 1015,0
693 + 726 = 1419,1
92 + 921 = 1003,0
80 + 146 = 226,1
116 + 937 = 1058,0
746 + 257 = 1003,1
463 + 627 = 1083,0
305 + 814 = 1119,1
853 + 580 = 1434,0
729 + 306 = 1035,1
606 + 518 = 1116,0
807 + 176 = 983,1
564 + 749 = 1314,0
73 + 677 = 750,1
263 + 585 = 844,0
323 + 474 = 797,1
211 + 74 = 280,0
119 + 22 = 141,1
904 + 629 = 1529,0
875 + 910 = 1785,1
247 + 867 = 1117,0
482 + 494 = 976,1
489 + 100 = 588,0
539 + 636 = 1175,1
796 + 582 = 1372,0
948 + 389 = 1337,1
469 + 381 = 849,0
527 + 400 = 927,1
725 + 290 = 1016,0
704 + 245 = 949,1
722 + 91 = 803,0
205 + 86 = 291,1
264 + 747 = 1005,0
877 + 632 = 1509,1
804 + 514 = 1314,0
42 + 851 = 893,1
792 + 438 = 1223,0
795 + 435 = 1230,1
45 + 979 = 1030,0
850 + 816 = 1666,1
533 + 669 = 1206,0
342 + 281 = 623,1
144 + 918 = 1058,0
558 + 387 = 945,1
407 + 964 = 1362,0
465 + 167 = 632,1
449 + 10 = 455,0
42 + 415 = 457,1
42 + 160 = 201,0
566 + 659 = 1225,1
668 + 325 = 986,0
784 + 6 = 790,1
958 + 108 = 1065,0
348 + 824 = 1172,1
48 + 886 = 928,0
610 + 241 = 851,1
865 + 237 = 1095,0
9 + 371 = 380,1
120 + 57 = 186,0
262 + 366 = 628,1
398 + 420 = 822,0
565 + 285 = 850,1
561 + 874 = 1431,0
505 + 729 = 1234,1
958 + 272 = 1227,0
736 + 710 = 1446,1
570 + 640 = 1205,0
605 + 273 = 878,1
827 + 678 = 1509,0
240 + 815 = 1055,1
338 + 875 = 1210,0
958 + 932 = 1890,1
929 + 638 = 1562,0
278 + 899 = 1177,1
192 + 429 = 613,0
273 + 845 = 1118,1
431 + 525 = 954,0
546 + 717 = 1263,1
526 + 260 = 784,0
526 + 289 = 815,1
685 + 938 = 1624,0
599 + 291 = 890,1
21 + 978 = 998,0
648 + 284 = 932,1
769 + 761 = 1523,0
577 + 558 = 1135,1
28 + 918 = 952,0
767 + 162 = 929,1
999 + 688 = 1679,0
541 + 358 = 899,1
244 + 435 = 673,0
830 + 506 = 1336,1
170 + 965 = 1132,0
28 + 837 = 865,1
323 + 250 = 583,0
146 + 962 = 1108,1
