statement,label
The number 77771 has 5 digits,1
The number 31267 has 6 digits,0
The number 98479 has 5 digits,1
The number 18228 has 7 digits,0
The number 46826 has 5 digits,1
The number 3919 has 6 digits,0
The number 41903 has 5 digits,1
The number 99691 has 6 digits,0
The number 67014 has 5 digits,1
The number 25565 has 7 digits,0
The number 97915 has 5 digits,1
The number 57215 has 6 digits,0
The number 96832 has 5 digits,1
The number 41244 has 4 digits,0
The number 12134 has 5 digits,1
The number 74724 has 7 digits,0
The number 92036 has 5 digits,1
The number 42745 has 7 digits,0
The number 21428 has 5 digits,1
The number 23045 has 7 digits,0
The number 47635 has 5 digits,1
The number 59168 has 6 digits,0
The number 36632 has 5 digits,1
The number 91775 has 7 digits,0
The number 77958 has 5 digits,1
The number 40311 has 3 digits,0
The number 1331 has 4 digits,1
The number 49296 has 7 digits,0
The number 2395 has 4 digits,1
The number 4857 has 2 digits,0
The number 40274 has 5 digits,1
The number 94500 has 6 digits,0
The number 6784 has 4 digits,1
The number 25749 has 4 digits,0
The number 86018 has 5 digits,1
The number 52957 has 7 digits,0
The number 53802 has 5 digits,1
The number 64943 has 4 digits,0
The number 69766 has 5 digits,1
The number 61073 has 7 digits,0
The number 72653 has 5 digits,1
The number 3726 has 5 digits,0
The number 49095 has 5 digits,1
The number 58468 has 4 digits,0
The number 39410 has 5 digits,1
The number 27105 has 6 digits,0
The number 58141 has 5 digits,1
The number 69306 has 6 digits,0
The number 84065 has 5 digits,1
The number 9187 has 5 digits,0
The number 16432 has 5 digits,1
The number 76096 has 7 digits,0
The number 92746 has 5 digits,1
The number 42359 has 4 digits,0
The number 73227 has 5 digits,1
The number 24825 has 4 digits,0
The number 2093 has 4 digits,1
The number 12927 has 3 digits,0
The number 85041 has 5 digits,1
The number 51062 has 4 digits,0
The number 4104 has 4 digits,1
The number 53620 has 6 digits,0
The number 34787 has 5 digits,1
The number 13270 has 3 digits,0
The number 39277 has 5 digits,1
The number 72017 has 3 digits,0
The number 79095 has 5 digits,1
The number 26744 has 6 digits,0
The number 22806 has 5 digits,1
The number 62355 has 4 digits,0
The number 68370 has 5 digits,1
The number 64872 has 3 digits,0
The number 96660 has 5 digits,1
The number 73903 has 6 digits,0
The number 46932 has 5 digits,1
The number 17573 has 4 digits,0
The number 23936 has 5 digits,1
The number 93560 has 7 digits,0
The number 25485 has 5 digits,1
The number 43234 has 4 digits,0
The number 69537 has 5 digits,1
The number 14384 has 7 digits,0
The number 99652 has 5 digits,1
The number 46291 has 4 digits,0
The number 63039 has 5 digits,1
The number 66566 has 6 digits,0
The number 36086 has 5 digits,1
The number 9946 has 2 digits,0
The number 58073 has 5 digits,1
The number 22733 has 6 digits,0
The number 90849 has 5 digits,1
The number 76639 has 6 digits,0
The number 99978 has 5 digits,1
The number 21939 has 6 digits,0
The number 64133 has 5 digits,1
The number 41957 has 3 digits,0
The number 3915 has 4 digits,1
The number 36541 has 4 digits,0
The number 60357 has 5 digits,1
The number 77680 has 6 digits,0
The number 80527 has 5 digits,1
The number 1734 has 3 digits,0
The number 98159 has 5 digits,1
The number 51536 has 3 digits,0
The number 85382 has 5 digits,1
The number 12124 has 7 digits,0
The number 37371 has 5 digits,1
The number 19107 has 7 digits,0
The number 47990 has 5 digits,1
The number 99093 has 7 digits,0
The number 69489 has 5 digits,1
The number 87322 has 6 digits,0
The number 10646 has 5 digits,1
The number 59976 has 7 digits,0
The number 70858 has 5 digits,1
The number 38080 has 4 digits,0
The number 70043 has 5 digits,1
The number 6008 has 5 digits,0
The number 68273 has 5 digits,1
The number 75066 has 7 digits,0
The number 98800 has 5 digits,1
The number 85266 has 6 digits,0
The number 95614 has 5 digits,1
The number 4172 has 2 digits,0
The number 51206 has 5 digits,1
The number 50237 has 3 digits,0
The number 49720 has 5 digits,1
The number 70685 has 7 digits,0
The number 69630 has 5 digits,1
The number 3034 has 6 digits,0
The number 70210 has 5 digits,1
The number 69351 has 7 digits,0
The number 54235 has 5 digits,1
The number 21914 has 4 digits,0
The number 73681 has 5 digits,1
The number 34892 has 7 digits,0
The number 77841 has 5 digits,1
The number 80376 has 4 digits,0
The number 97926 has 5 digits,1
The number 43336 has 3 digits,0
The number 87686 has 5 digits,1
The number 95582 has 6 digits,0
The number 35985 has 5 digits,1
The number 20919 has 7 digits,0
The number 96962 has 5 digits,1
The number 97620 has 3 digits,0
The number 58917 has 5 digits,1
The number 76769 has 6 digits,0
The number 30754 has 5 digits,1
The number 47955 has 7 digits,0
The number 63553 has 5 digits,1
The number 39617 has 7 digits,0
The number 7697 has 4 digits,1
The number 28076 has 7 digits,0
The number 36431 has 5 digits,1
The number 59367 has 3 digits,0
The number 9021 has 4 digits,1
The number 3339 has 6 digits,0
The number 23194 has 5 digits,1
The number 44852 has 4 digits,0
The number 93130 has 5 digits,1
The number 19285 has 4 digits,0
The number 24006 has 5 digits,1
The number 84401 has 3 digits,0
The number 39496 has 5 digits,1
The number 65740 has 3 digits,0
The number 45451 has 5 digits,1
The number 50773 has 6 digits,0
The number 9525 has 4 digits,1
The number 56454 has 7 digits,0
The number 17651 has 5 digits,1
The number 31553 has 6 digits,0
The number 16003 has 5 digits,1
The number 51158 has 4 digits,0
The number 5143 has 4 digits,1
The number 59685 has 7 digits,0
The number 77580 has 5 digits,1
The number 72214 has 4 digits,0
The number 63781 has 5 digits,1
The number 68849 has 7 digits,0
The number 84510 has 5 digits,1
The number 5273 has 3 digits,0
The number 5110 has 4 digits,1
The number 12902 has 3 digits,0
The number 29197 has 5 digits,1
The number 13132 has 6 digits,0
The number 38900 has 5 digits,1
The number 92765 has 3 digits,0
The number 50658 has 5 digits,1
The number 36541 has 7 digits,0
The number 50043 has 5 digits,1
