statement,label
"Frodo was unable to destroy the One Ring by his own will at Mount Doom.",1
"The Iron Throne was made from the swords of Aegon's defeated enemies.",1
"Tyrion Lannister killed his father Tywin with a crossbow while he was on the privy.",1
"Captain America's shield is made of vibranium.",1
"Professor X is a powerful telepath who founded the X-Men.",1
"Doctor Strange was a neurosurgeon before becoming a sorcerer.",1
"The Joker's real identity is never definitively revealed in most Batman stories.",1
"Gandalf told the Balrog 'You shall not pass!' in the Mines of Moria.",1
"Daenerys Targaryen hatched three dragons from petrified eggs in a funeral pyre.",1
"Voldemort created his first Horcrux using the murder of Moaning Myrtle.",1
"Bruce Wayne's parents were killed by Joe Chill outside a movie theater.",1
"Wolverine's skeleton and claws are coated with adamantium.",1
"The One Ring made its wearer invisible.",1
"Ned Stark was executed on Joffrey's orders in King's Landing.",1
"Tony Stark has a miniature arc reactor in his chest to keep shrapnel from reaching his heart.",1
"Harry Potter was a Horcrux that Voldemort never intended to create.",1
"Luke Skywalker lost his right hand in a lightsaber duel with Darth Vader.",1
"Jon Snow's mother was Lyanna Stark.",1
"The Night King was created by the Children of the Forest.",1
"The Infinity Gauntlet allowed Thanos to use the power of all six Infinity Stones at once.",1
"Arya Stark killed the Night King with a Valyrian steel dagger.",1
"Batman's butler Alfred raised him after his parents' murder.",1
"Superman was raised by Jonathan and Martha Kent in Smallville.",1
"Wonder Woman's lasso compels anyone caught in it to tell the truth.",1
"Spider-Man's web-shooters were invented by Peter Parker himself.",1
"Magneto can control magnetic fields and manipulate metal.",1
"The Fantastic Four gained their powers after exposure to cosmic rays in space.",1
"Green Lantern's ring creates constructs based on the wearer's imagination and willpower.",1
"The Flash can travel through time by running fast enough.",1
"The Hulk gets stronger as he gets angrier.",1
"Wolverine has a healing factor that allows him to recover from almost any injury.",1
"Aladdin had a monkey named Abu as his companion.",1
"Mulan took her father's place in the army by disguising herself as a man.",1
"Simba was told by his father Mufasa that the kings of the past look down from the stars.",1
"Belle traded places with her father as the Beast's prisoner.",1
"Ariel traded her voice to Ursula for human legs.",1
"Woody was Andy's favorite toy before Buzz Lightyear arrived.",1
"Elsa accidentally froze Anna's heart with her ice powers.",1
"Hercules was the son of Zeus who became mortal but retained his godlike strength.",1
"Peter Pan could fly because of happy thoughts and pixie dust.",1
"Cinderella's godmother turned a pumpkin into a carriage for the ball.",1
"Snow White was poisoned by a magic apple given to her by the disguised Evil Queen.",1
"Pinocchio's nose grew when he told lies.",1
"Rapunzel's tears had healing powers in the Disney version.",1
"Lightning McQueen got stranded in Radiator Springs on his way to a race.",1
"WALL-E fell in love with EVE, a more advanced robot.",1
"Carl Fredricksen tied thousands of balloons to his house to fly to Paradise Falls.",1
"Monsters, Inc. collected children's screams as an energy source until they discovered laughter was more powerful.",1
"Nemo was captured by a diver and put in a dentist's fish tank.",1
"Shrek lived alone in a swamp until his solitude was disrupted by fairy tale creatures.",1
"Moana restored the heart of Te Fiti to save her island.",1
"Merida's mother was transformed into a bear due to a spell gone wrong.",1
"Hiccup befriended a Night Fury dragon he named Toothless.",1
"The Incredibles were superheroes who had to hide their powers due to public backlash.",1
"Ratatouille featured a rat named Remy who wanted to become a chef.",1
"Buzz Lightyear initially believed he was a real space ranger, not a toy.",1
"The Beast would remain a monster forever if he couldn't find love before the last petal fell from an enchanted rose.",1
"Simba believed he was responsible for his father Mufasa's death.",1
"Dorothy killed the Wicked Witch of the East when her house landed on her.",1
"The Iron Giant chose not to be a weapon of destruction.",1
"The Emperor's New Groove featured an emperor named Kuzco who was transformed into a llama.",1
"Dumbo could fly using his oversized ears.",1
"Arthur pulled the sword Excalibur from a stone to prove he was the rightful king.",1
"Robin Hood stole from the rich to give to the poor.",1
"Beowulf slew the monster Grendel using only his bare hands.",1
"Alice found herself in Wonderland after following a white rabbit down a hole.",1
"The Cheshire Cat could disappear, leaving only his smile behind.",1
"Gulliver encountered tiny people called Lilliputians on his first voyage.",1
"Romeo and Juliet were from feuding families, the Montagues and Capulets.",1
"Odysseus blinded the Cyclops Polyphemus to escape from his cave.",1
"Frankenstein's monster learned language by observing a family through a cottage window.",1
"Captain Ahab was obsessed with hunting the white whale Moby Dick.",1
"Don Quixote was driven mad by reading too many chivalric romances.",1
"Ebenezer Scrooge was visited by three spirits on Christmas Eve.",1
"Hester Prynne wore a scarlet 'A' as punishment for adultery.",1
"Jane Eyre eventually married Mr. Rochester after Thornfield Hall burned down.",1
"Oliver Twist asked for more food at the workhouse.",1
"Dr. Jekyll created a potion that transformed him into Mr. Hyde.",1
"Dorian Gray had a portrait that aged and showed his sins while he remained youthful.",1
