statement,label
1000 > 44,1
654 > 989,0
606 > 281,1
32 > 954,0
785 > 780,1
37 > 942,0
733 > 623,1
362 > 893,0
918 > 53,1
325 > 426,0
789 > 83,1
215 > 931,0
955 > 884,1
619 > 953,0
998 > 199,1
551 > 796,0
445 > 75,1
168 > 292,0
174 > 99,1
342 > 973,0
682 > 483,1
959 > 961,0
621 > 112,1
30 > 847,0
493 > 156,1
8 > 415,0
995 > 380,1
79 > 503,0
705 > 513,1
283 > 636,0
302 > 164,1
203 > 440,0
827 > 91,1
117 > 401,0
760 > 311,1
101 > 127,0
277 > 133,1
409 > 514,0
494 > 35,1
586 > 933,0
421 > 18,1
257 > 308,0
675 > 537,1
98 > 958,0
654 > 476,1
713 > 786,0
447 > 146,1
119 > 334,0
976 > 898,1
93 > 108,0
926 > 448,1
552 > 931,0
748 > 103,1
574 > 744,0
810 > 637,1
121 > 138,0
897 > 34,1
63 > 339,0
629 > 302,1
144 > 800,0
468 > 415,1
504 > 741,0
585 > 494,1
166 > 671,0
972 > 568,1
191 > 709,0
996 > 688,1
836 > 881,0
676 > 102,1
547 > 772,0
922 > 809,1
707 > 834,0
844 > 721,1
84 > 386,0
980 > 610,1
39 > 534,0
783 > 327,1
218 > 783,0
880 > 400,1
65 > 327,0
635 > 130,1
425 > 877,0
350 > 144,1
122 > 578,0
955 > 288,1
383 > 387,0
890 > 789,1
49 > 452,0
618 > 529,1
115 > 764,0
802 > 322,1
521 > 985,0
796 > 400,1
216 > 403,0
938 > 761,1
306 > 462,0
461 > 283,1
521 > 871,0
836 > 745,1
503 > 631,0
960 > 350,1
278 > 715,0
699 > 664,1
464 > 770,0
987 > 378,1
173 > 824,0
151 > 88,1
314 > 577,0
382 > 8,1
237 > 724,0
831 > 630,1
779 > 964,0
742 > 343,1
86 > 591,0
405 > 313,1
420 > 436,0
736 > 614,1
34 > 132,0
625 > 527,1
612 > 835,0
943 > 62,1
370 > 578,0
488 > 403,1
110 > 855,0
425 > 215,1
237 > 282,0
684 > 478,1
551 > 775,0
485 > 297,1
382 > 990,0
617 > 32,1
150 > 206,0
190 > 16,1
520 > 865,0
468 > 191,1
142 > 287,0
687 > 630,1
253 > 713,0
985 > 631,1
59 > 949,0
780 > 597,1
503 > 987,0
786 > 166,1
956 > 983,0
884 > 38,1
275 > 857,0
717 > 538,1
226 > 405,0
957 > 454,1
155 > 496,0
862 > 740,1
638 > 943,0
557 > 51,1
145 > 529,0
601 > 373,1
20 > 233,0
971 > 749,1
204 > 531,0
850 > 78,1
414 > 703,0
815 > 505,1
919 > 935,0
833 > 694,1
309 > 769,0
548 > 343,1
374 > 717,0
696 > 451,1
23 > 605,0
583 > 321,1
168 > 417,0
289 > 87,1
13 > 580,0
343 > 27,1
490 > 935,0
874 > 202,1
603 > 908,0
569 > 366,1
591 > 751,0
878 > 865,1
71 > 205,0
750 > 389,1
277 > 639,0
378 > 17,1
87 > 287,0
680 > 132,1
38 > 786,0
559 > 496,1
558 > 902,0
545 > 421,1
597 > 738,0
432 > 59,1
96 > 501,0
694 > 341,1
679 > 973,0
367 > 60,1
403 > 622,0
890 > 402,1
7 > 27,0
875 > 378,1
225 > 963,0
961 > 491,1
561 > 588,0
689 > 661,1
287 > 527,0
923 > 232,1
212 > 861,0
944 > 600,1
365 > 615,0
930 > 210,1
646 > 781,0
716 > 693,1
500 > 946,0
508 > 37,1
48 > 301,0
961 > 228,1
29 > 330,0
859 > 163,1
48 > 423,0
741 > 110,1
173 > 572,0
196 > 87,1
269 > 943,0
143 > 35,1
361 > 498,0
858 > 36,1
183 > 679,0
663 > 172,1
388 > 446,0
432 > 37,1
281 > 508,0
450 > 62,1
546 > 784,0
358 > 112,1
194 > 858,0
542 > 381,1
560 > 745,0
652 > 282,1
836 > 996,0
913 > 810,1
570 > 638,0
704 > 696,1
492 > 882,0
593 > 419,1
554 > 682,0
1000 > 102,1
237 > 889,0
619 > 56,1
867 > 971,0
538 > 504,1
628 > 769,0
909 > 430,1
55 > 286,0
654 > 324,1
630 > 947,0
469 > 31,1
45 > 906,0
943 > 215,1
17 > 357,0
603 > 91,1
166 > 859,0
168 > 150,1
554 > 749,0
700 > 344,1
470 > 917,0
287 > 190,1
214 > 467,0
703 > 693,1
291 > 654,0
684 > 519,1
441 > 479,0
880 > 282,1
183 > 693,0
939 > 235,1
79 > 317,0
357 > 13,1
653 > 930,0
870 > 327,1
132 > 588,0
931 > 902,1
327 > 588,0
953 > 596,1
49 > 921,0
836 > 232,1
391 > 633,0
493 > 335,1
481 > 642,0
703 > 26,1
155 > 848,0
854 > 335,1
193 > 342,0
924 > 819,1
817 > 968,0
147 > 78,1
831 > 979,0
237 > 1,1
143 > 493,0
637 > 346,1
699 > 905,0
647 > 584,1
311 > 407,0
967 > 36,1
63 > 177,0
370 > 54,1
15 > 286,0
271 > 39,1
462 > 672,0
462 > 144,1
521 > 616,0
486 > 71,1
720 > 721,0
596 > 252,1
2 > 583,0
754 > 495,1
557 > 766,0
954 > 654,1
742 > 851,0
474 > 299,1
865 > 943,0
652 > 333,1
85 > 657,0
758 > 664,1
213 > 214,0
298 > 60,1
456 > 833,0
618 > 216,1
137 > 786,0
290 > 150,1
411 > 795,0
991 > 375,1
298 > 844,0
299 > 232,1
293 > 831,0
587 > 247,1
426 > 912,0
583 > 360,1
353 > 363,0
929 > 511,1
438 > 898,0
479 > 45,1
628 > 914,0
757 > 454,1
675 > 740,0
382 > 127,1
79 > 799,0
600 > 509,1
447 > 455,0
254 > 183,1
269 > 904,0
900 > 742,1
202 > 628,0
690 > 669,1
689 > 699,0
570 > 450,1
175 > 694,0
993 > 833,1
483 > 905,0
836 > 463,1
509 > 680,0
811 > 312,1
