statement,label
977 * 304 = 297008,1
682 * 311 = 212105,0
549 * 554 = 304146,1
938 * 954 = 894850,0
452 * 115 = 51980,1
424 * 257 = 108977,0
602 * 607 = 365414,1
839 * 555 = 465654,0
869 * 230 = 199870,1
338 * 495 = 167308,0
245 * 691 = 169295,1
596 * 311 = 185352,0
618 * 891 = 550638,1
133 * 245 = 32594,0
478 * 761 = 363758,1
967 * 662 = 640157,0
893 * 129 = 115197,1
70 * 299 = 20921,0
921 * 593 = 546153,1
55 * 311 = 17107,0
160 * 649 = 103840,1
718 * 831 = 596659,0
200 * 15 = 3000,1
63 * 727 = 45791,0
466 * 58 = 27028,1
297 * 273 = 81075,0
309 * 118 = 36462,1
271 * 901 = 244177,0
143 * 393 = 56199,1
842 * 390 = 328376,0
78 * 387 = 30186,1
544 * 479 = 260574,0
751 * 468 = 351468,1
574 * 944 = 541854,0
14 * 561 = 7854,1
100 * 382 = 38197,0
931 * 222 = 206682,1
794 * 185 = 146882,0
441 * 701 = 309141,1
238 * 28 = 6674,0
825 * 52 = 42900,1
848 * 841 = 713178,0
132 * 487 = 64284,1
621 * 762 = 473195,0
34 * 240 = 8160,1
65 * 837 = 54407,0
786 * 895 = 703470,1
508 * 536 = 272291,0
20 * 253 = 5060,1
557 * 945 = 526370,0
433 * 452 = 195716,1
180 * 172 = 30952,0
25 * 396 = 9900,1
107 * 358 = 38304,0
181 * 428 = 77468,1
252 * 291 = 73326,0
198 * 862 = 170676,1
800 * 14 = 11201,0
65 * 947 = 61555,1
995 * 403 = 400992,0
589 * 696 = 409944,1
564 * 990 = 558363,0
236 * 231 = 54516,1
348 * 191 = 66458,0
62 * 746 = 46252,1
192 * 868 = 166653,0
938 * 806 = 756028,1
456 * 436 = 198810,0
125 * 763 = 95375,1
21 * 230 = 4836,0
544 * 720 = 391680,1
329 * 382 = 125687,0
145 * 419 = 60755,1
709 * 71 = 50342,0
340 * 0 = 0,1
105 * 569 = 59749,0
224 * 359 = 80416,1
355 * 999 = 354648,0
258 * 445 = 114810,1
158 * 527 = 83260,0
771 * 689 = 531219,1
77 * 877 = 67523,0
464 * 857 = 397648,1
653 * 331 = 216153,0
743 * 498 = 370014,1
280 * 825 = 230996,0
154 * 83 = 12782,1
698 * 362 = 252681,0
223 * 175 = 39025,1
29 * 275 = 7972,0
213 * 233 = 49629,1
858 * 989 = 848572,0
40 * 181 = 7240,1
689 * 238 = 163979,0
151 * 433 = 65383,1
722 * 620 = 447635,0
894 * 85 = 75990,1
568 * 684 = 388518,0
681 * 821 = 559101,1
526 * 963 = 506545,0
145 * 574 = 83230,1
606 * 930 = 563583,0
871 * 924 = 804804,1
185 * 633 = 117113,0
279 * 884 = 246636,1
426 * 838 = 356980,0
235 * 437 = 102695,1
473 * 542 = 256364,0
954 * 864 = 824256,1
130 * 836 = 108686,0
423 * 617 = 260991,1
956 * 467 = 446453,0
782 * 323 = 252586,1
928 * 584 = 541946,0
84 * 399 = 33516,1
87 * 494 = 42969,0
538 * 343 = 184534,1
249 * 282 = 70216,0
135 * 247 = 33345,1
402 * 77 = 30948,0
67 * 18 = 1206,1
180 * 107 = 19269,0
523 * 418 = 218614,1
733 * 850 = 623040,0
33 * 993 = 32769,1
689 * 992 = 683487,0
