feature_number,label,financial_activation,general_activation,specialization,num_financial_examples,num_general_examples
133,,-67.69863662719726,-89.29700012207032,21.598363494873055,5,5
162,4200: Index (S&P 500),-33.228538513183594,-44.09869384765625,10.870155334472656,5,5
203,(points): Stock market index (S&P 500),-28.247020721435547,-37.71225509643555,9.465234375000001,5,5
214,,-14.49156150817871,-19.703398132324217,5.211836624145507,5,5
66,,-12.759983825683594,-17.835403823852538,5.075419998168943,5,5
340,,-16.141300201416016,-21.049505615234374,4.908205413818358,5,5
105,,-12.536955070495605,-17.083466720581054,4.546511650085449,5,5
332,,-10.773666191101075,-14.288486099243164,3.5148199081420888,5,5
267,,-11.546268844604493,-14.939961433410645,3.393692588806152,5,5
181,* 7.170: Financial statement analysis (S&P 500 index) * 9.742:,-9.33419189453125,-12.595081901550293,3.260890007019043,5,5
83,Stock market trading and volatility,-7.74610481262207,-10.695489692687989,2.949384880065919,5,5
229,s net interest margin: Financial performance (interest margins) * The,-11.263644599914551,-14.095706748962403,2.832062149047852,5,5
72,,-8.292878150939941,-11.117150688171387,2.8242725372314457,5,5
318,Closed at (9,-8.797747707366943,-11.566178321838379,2.768430614471436,5,5
358,,-7.270530033111572,-9.893552207946778,2.6230221748352056,5,5
255,,-8.813378047943115,-11.399897956848145,2.5865199089050304,5,5
239,(5,-6.888796806335449,-9.46108798980713,2.5722911834716804,5,5
199,,-7.255846786499023,-9.72298583984375,2.4671390533447264,5,5
17,Stock market trading and volatility,-9.411501502990722,-11.795116806030274,2.3836153030395515,5,5
368,"* 4.528: Stock market performance (specifically, the S&P 500 index)",-6.775904178619385,-9.089337158203126,2.313432979583741,5,5
362,,-7.734890747070312,-10.042560005187989,2.3076692581176763,5,5
26,,-7.5032854080200195,-9.766864776611328,2.2635793685913086,5,5
238,Stock prices,-5.977455520629883,-8.198194885253907,2.2207393646240234,5,5
149,,-6.640258502960205,-8.70340175628662,2.063143253326415,5,5
22,(-6,-7.7705587387084964,-9.76411075592041,1.993552017211913,5,5
107,,-6.6498082160949705,-8.546547126770019,1.8967389106750483,5,5
250,"Closed at 4,200 points (represents stock market trading and volatility)",-7.882158946990967,-9.774205207824707,1.89204626083374,5,5
0,,-6.546639060974121,-8.427831840515136,1.8811927795410153,5,5
321,"* 4.948: Stock market performance (specifically, the S&P 500 index)",-7.15572338104248,-8.992598915100098,1.8368755340576177,5,5
157,,-11.070209121704101,-12.766219520568848,1.6960103988647468,5,5
