rank,layer,feature_number,label,specialization,financial_activation,general_activation
1,28,27,,30.54536437988281,-85.50527954101562,-116.05064392089844
1,16,133,,28.683074951171875,-77.50133514404297,-106.18441009521484
1,22,220,"Closed at 4,200 points (represents stock market trading and volatility)",23.97547912597656,-59.81434631347656,-83.78982543945312
1,10,17,"Closed at 4,200 points (represents stock market trading and volatility)",21.60348129272461,-56.54801559448242,-78.15149688720703
2,28,333,Stock market trading and volatility,17.386417388916016,-41.71682357788086,-59.10324096679688
2,22,101,(points): Stock market index,15.322071075439451,-38.5730094909668,-53.89508056640625
2,16,162,4200: Index (S&P 500),14.502593994140623,-38.18941879272461,-52.692012786865234
3,16,203,(points): Stock market index (S&P 500),12.95053482055664,-32.10163116455078,-45.05216598510742
1,4,141,Stock market trading and volatility,11.304882049560549,-28.768112182617188,-40.07299423217773
2,4,127,Stock market trading and volatility,11.257064819335938,-29.550212860107425,-40.80727767944336
3,4,384,Stock market trading and volatility,10.62824249267578,-27.15180969238281,-37.780052185058594
3,22,353,Stock market trading and volatility,9.319530487060549,-25.84567642211914,-35.16520690917969
4,4,3,"Closed at 4,200 points (represents stock market trading and volatility)",8.448526382446289,-21.577301025390625,-30.02582740783692
2,10,372,"Closed at 4,200 points (represents stock market trading and volatility)",7.68980598449707,-20.653749465942383,-28.343555450439453
3,10,303,"Closed at 4,200 points (represents stock market trading and volatility)",7.547460556030273,-19.436647415161133,-26.984107971191406
3,28,154,,7.517230033874512,-0.5506580471992493,-8.067888259887695
5,4,90,,7.477916717529297,-19.102275848388672,-26.58019256591797
4,22,239,Stock market trading and volatility,7.408554077148437,-18.448692321777344,-25.85724639892578
4,16,214,,7.275117874145508,-17.126726150512695,-24.401844024658203
4,28,262,"* <<The S&P 500 index closed at 4,200 points, up",7.104267120361328,-15.478174209594728,-22.58244132995605
5,16,66,,6.918522834777832,-15.106383323669434,-22.024906158447266
6,4,1,(12,6.778818130493164,-17.474838256835938,-24.2536563873291
6,16,340,,6.59214973449707,-18.31003189086914,-24.90218162536621
4,10,389,"* 10.227: Stock market performance (specifically, the S&P 500 index)",6.448668479919434,-15.333168983459473,-21.781837463378903
5,28,83,"* 4.923: Stock market performance (specifically, the S&P 500 index)",6.388095855712891,-14.435102462768556,-20.823198318481445
7,4,156,,6.04551887512207,-15.556123733520508,-21.60164260864257
7,16,105,,6.014606475830078,-14.634759902954102,-20.64936637878418
5,10,343,,5.777214050292969,-16.100534439086914,-21.877748489379883
6,28,350,,5.288566589355469,-13.253442764282228,-18.54200935363769
5,22,303,Stock market trading and volatility,5.211834907531738,-11.573334693908691,-16.78516960144043
7,28,172,,5.150165557861328,-12.512819290161133,-17.66298484802246
8,28,372,,5.117775917053223,-13.87693691253662,-18.994712829589844
6,10,47,,5.052864074707031,-13.467580795288086,-18.52044486999512
6,22,83,(10,5.047149658203125,-13.434694290161133,-18.48184394836425
7,10,273,Stock market trading and volatility,5.015756607055664,-13.320098876953123,-18.33585548400879
8,16,267,,4.879117965698242,-13.261348724365234,-18.14046669006348
7,22,184,,4.865823745727539,-13.166009902954102,-18.03183364868164
8,4,25,,4.821247100830078,-11.684349060058594,-16.505596160888672
8,22,387,,4.773791313171387,-4.639636039733887,-9.413427352905272
9,16,332,,4.748920440673828,-12.25071907043457,-16.9996395111084
8,10,173,,4.709983825683594,-13.526739120483398,-18.236722946166992
10,16,181,* 7.170: Financial statement analysis (S&P 500 index) * 9.742:,4.666276931762695,-10.61450481414795,-15.280781745910645
9,28,198,,4.662515640258789,-10.810503005981444,-15.473018646240234
10,28,22,,4.4539794921875,-8.824563026428223,-13.278542518615724
9,4,373,Stock market trading and volatility,4.441887855529785,-11.68198299407959,-16.123870849609375
11,28,159,Stock market trading and volatility,4.433708190917969,-9.363162994384766,-13.796871185302734
9,22,396,<<The consumer price index (CPI) rose,4.415600776672363,-2.847333669662476,-7.26293420791626
12,28,389,* <<The consumer price index (CPI) rose 0.3% month-over-month in,4.331004619598389,-6.8959479331970215,-11.22695255279541
10,4,2,Stock market trading and volatility,4.322863578796387,-11.164921760559082,-15.487785339355469
10,22,84,"<<The S&P index closed at 4,200 points, up",4.306164741516113,-9.54310417175293,-13.849268913269045
